"","ï..Sno","Date","Time","State","ConfirmedIndianNational","ConfirmedForeignNational","Cured","Deaths","Confirmed"
"326",1597,2020-05-04,"5:00 PM","Odisha","-","-",60,1,163
"327",1606,2020-05-04,"5:00 PM","West Bengal","-","-",151,35,963
"328",1613,2020-05-05,"5:00 PM","Chhattisgarh","-","-",36,0,58
"329",1616,2020-05-05,"5:00 PM","Gujarat","-","-",1195,319,5804
"330",1620,2020-05-05,"5:00 PM","Jharkhand","-","-",27,3,115
"331",1624,2020-05-05,"5:00 PM","Madhya Pradesh","-","-",1000,176,3049
"332",1625,2020-05-05,"5:00 PM","Maharashtra","-","-",2465,583,14541
"333",1629,2020-05-05,"5:00 PM","Odisha","-","-",60,1,170
"334",1638,2020-05-05,"5:00 PM","West Bengal","-","-",218,133,1259
"335",1645,2020-05-06,"8:00 AM","Chhattisgarh","-","-",36,0,59
"336",1649,2020-05-06,"8:00 AM","Gujarat","-","-",1381,368,6245
"337",1653,2020-05-06,"8:00 AM","Jharkhand","-","-",33,3,125
"338",1657,2020-05-06,"8:00 AM","Madhya Pradesh","-","-",1000,176,3049
"339",1658,2020-05-06,"8:00 AM","Maharashtra","-","-",2819,617,15525
"340",1662,2020-05-06,"8:00 AM","Odisha","-","-",60,1,175
"341",1671,2020-05-06,"8:00 AM","West Bengal","-","-",364,140,1344
"342",1678,2020-05-07,"8:00 AM","Chhattisgarh","-","-",36,0,59
"343",1682,2020-05-07,"8:00 AM","Gujarat","-","-",1500,396,6625
"344",1686,2020-05-07,"8:00 AM","Jharkhand","-","-",37,3,127
"345",1690,2020-05-07,"8:00 AM","Madhya Pradesh","-","-",1099,185,3138
"346",1691,2020-05-07,"8:00 AM","Maharashtra","-","-",3094,651,16758
"347",1695,2020-05-07,"8:00 AM","Odisha","-","-",61,2,185
"348",1704,2020-05-07,"8:00 AM","West Bengal","-","-",364,144,1456
"349",1711,2020-05-08,"8:00 AM","Chhattisgarh","-","-",38,0,59
"350",1715,2020-05-08,"8:00 AM","Gujarat","-","-",1709,425,7012
"351",1719,2020-05-08,"8:00 AM","Jharkhand","-","-",41,3,132
"352",1723,2020-05-08,"8:00 AM","Madhya Pradesh","-","-",1231,193,3252
"353",1724,2020-05-08,"8:00 AM","Maharashtra","-","-",3301,694,17974
"354",1728,2020-05-08,"8:00 AM","Odisha","-","-",62,2,219
"355",1737,2020-05-08,"8:00 AM","West Bengal","-","-",364,151,1548
"356",1744,2020-05-09,"8:00 AM","Chhattisgarh","-","-",38,0,59
"357",1748,2020-05-09,"8:00 AM","Gujarat","-","-",1872,449,7402
"358",1752,2020-05-09,"8:00 AM","Jharkhand","-","-",52,3,132
"359",1756,2020-05-09,"8:00 AM","Madhya Pradesh","-","-",1349,200,3341
